attendance_percentage,assignment_avg,quiz_avg,midterm_score,previous_semester_score,final_score,risk_level,risk_level_encoded
93,88,74,50,72,78.35,Safe,0
83,41,67,86,80,69.3,At Risk,1
69,41,43,65,70,56.35,At Risk,1
97,67,77,39,52,70.05,Safe,0
62,93,88,66,94,80.35,Safe,0
75,62,82,38,72,67.15,At Risk,1
93,76,73,53,72,75.6,Safe,0
73,71,63,64,81,70.35,Safe,0
77,72,76,78,85,76.9,Safe,0
65,40,89,64,80,65.65,At Risk,1
65,58,60,77,71,64.95,At Risk,1
78,41,69,65,61,62.45,At Risk,1
90,92,84,47,53,77.3,Safe,0
94,83,59,78,77,79.3,Safe,0
78,65,58,68,64,67.15,At Risk,1
57,71,47,61,57,59.1,At Risk,1
76,45,41,53,72,57.2,At Risk,1
56,71,70,52,92,67.35,At Risk,1
78,94,79,61,73,78.9,Safe,0
98,43,54,66,57,64.5,At Risk,1
84,94,35,41,90,71.15,Safe,0
92,50,42,78,79,67.45,At Risk,1
56,56,80,84,50,64.1,At Risk,1
75,77,50,42,62,63.6,At Risk,1
87,63,48,52,49,62.25,At Risk,1
66,44,46,54,91,58.45,At Risk,1
76,91,85,64,69,78.7,Safe,0
98,73,57,70,46,71.55,Safe,0
79,45,49,59,54,57.75,At Risk,1
81,61,62,46,74,65.9,At Risk,1
96,50,68,78,94,75.9,Safe,0
82,87,36,49,89,70.15,Safe,0
70,55,66,77,49,63.35,At Risk,1
69,72,57,54,77,66.3,At Risk,1
98,48,56,51,45,62.1,At Risk,1
57,45,85,42,62,58.1,At Risk,1
91,55,59,88,76,72.9,Safe,0
61,68,56,48,91,64.3,At Risk,1
75,42,56,78,93,66.1,At Risk,1
63,59,83,65,55,65.1,At Risk,1
93,75,86,41,65,75.1,Safe,0
72,58,76,70,70,68.7,At Risk,1
58,65,40,48,69,56.3,At Risk,1
79,42,49,41,66,56.1,At Risk,1
68,58,88,38,71,65.45,At Risk,1
63,59,77,36,93,65.25,At Risk,1
80,71,71,57,57,69.05,At Risk,1
56,46,67,43,77,56.9,At Risk,1
74,91,42,60,78,70.35,Safe,0
82,80,87,81,85,82.8,Safe,0
61,72,78,48,79,67.9,At Risk,1
98,79,78,87,45,79.65,Safe,0
62,78,39,76,65,63.95,At Risk,1
89,57,73,45,92,71.65,Safe,0
68,79,38,82,50,64.15,At Risk,1
71,40,40,34,72,51.65,At Risk,1
90,50,79,64,61,69.55,At Risk,1
94,67,66,41,49,66.95,At Risk,1
58,64,86,54,75,67.05,At Risk,1
56,89,64,81,49,68.55,At Risk,1
60,62,81,88,82,72.2,Safe,0
96,70,69,50,47,69.85,At Risk,1
58,69,89,65,67,69.35,At Risk,1
83,81,74,82,81,80.25,Safe,0
72,74,86,52,81,73.65,Safe,0
80,46,50,45,54,56.35,At Risk,1
98,55,47,86,54,68.65,At Risk,1
88,65,84,68,63,74.7,Safe,0
64,87,76,74,61,73.2,Safe,0
90,91,64,82,65,80.1,Safe,0
68,88,53,71,58,68.95,At Risk,1
85,41,51,87,53,62.7,At Risk,1
69,40,53,68,90,61.55,At Risk,1
62,87,62,43,45,62.85,At Risk,1
68,51,89,60,89,69.9,At Risk,1
77,44,60,87,57,63.85,At Risk,1
94,76,71,34,48,69.0,At Risk,1
75,71,60,64,45,64.85,At Risk,1
70,94,87,52,93,80.15,Safe,0
99,48,57,58,84,69.45,At Risk,1
72,80,43,72,76,68.8,At Risk,1
78,74,46,40,78,64.9,At Risk,1
80,58,87,47,72,69.75,At Risk,1
79,87,35,76,75,71.15,Safe,0
99,55,35,41,52,59.45,At Risk,1
95,42,81,38,83,68.6,At Risk,1
83,59,68,39,70,65.45,At Risk,1
69,63,66,87,78,70.95,Safe,0
99,93,88,73,47,83.6,Safe,0
55,72,82,46,94,69.15,At Risk,1
79,63,59,67,56,65.75,At Risk,1
61,91,74,36,45,64.95,At Risk,1
63,50,79,75,88,68.5,At Risk,1
78,88,87,42,49,72.55,Safe,0
55,47,35,69,74,53.95,At Risk,1
98,75,50,71,74,75.0,Safe,0
62,77,73,38,61,64.2,At Risk,1
78,79,39,79,92,72.7,Safe,0
65,59,56,56,91,64.25,At Risk,1
71,74,63,87,67,71.95,Safe,0
62,87,89,31,59,68.55,At Risk,1
89,64,37,34,81,62.9,At Risk,1
89,74,46,58,65,68.4,At Risk,1
87,64,60,66,58,68.35,At Risk,1
59,68,50,67,46,58.7,At Risk,1
96,57,85,48,55,70.7,Safe,0
93,85,71,37,83,76.7,Safe,0
95,57,56,77,82,73.05,Safe,0
82,41,63,74,78,66.15,At Risk,1
61,93,48,30,82,64.9,At Risk,1
63,74,62,51,94,68.4,At Risk,1
62,55,39,81,78,60.9,At Risk,1
66,80,81,46,62,68.9,At Risk,1
88,75,83,36,74,73.85,Safe,0
87,72,64,54,59,69.5,At Risk,1
77,43,80,74,71,67.75,At Risk,1
78,72,86,33,78,71.35,Safe,0
91,53,39,65,82,65.85,At Risk,1
89,60,46,35,77,63.25,At Risk,1
98,87,50,89,68,79.8,Safe,0
94,59,60,60,59,68.1,At Risk,1
76,47,60,48,74,61.05,At Risk,1
81,46,82,73,86,72.0,Safe,0
89,42,55,83,61,65.35,At Risk,1
55,56,73,68,49,59.9,At Risk,1
89,72,70,56,73,73.6,Safe,0
91,87,67,39,48,70.95,Safe,0
68,51,64,55,54,58.9,At Risk,1
57,90,71,48,61,67.3,At Risk,1
55,61,57,68,54,58.7,At Risk,1
59,94,44,32,61,61.0,At Risk,1
80,61,88,74,64,73.55,Safe,0
68,85,39,42,68,62.55,At Risk,1
93,69,70,79,49,73.7,Safe,0
81,77,68,57,78,73.35,Safe,0
63,77,86,87,50,72.75,Safe,0
69,84,65,49,46,65.5,At Risk,1
69,90,44,57,57,65.65,At Risk,1
80,93,53,37,87,72.45,Safe,0
96,47,66,70,87,72.5,Safe,0
67,66,35,68,92,64.25,At Risk,1
86,66,39,30,55,58.55,At Risk,1
93,73,79,32,91,75.75,Safe,0
86,60,38,42,67,60.45,At Risk,1
58,69,50,57,60,59.3,At Risk,1
84,72,58,86,75,74.75,Safe,0
91,67,50,89,55,71.1,Safe,0
77,86,89,78,60,79.25,Safe,0
93,72,36,54,52,64.35,At Risk,1
99,44,83,85,48,72.3,Safe,0
69,87,62,62,84,73.3,Safe,0
97,58,66,67,48,69.2,At Risk,1
83,43,61,82,69,66.35,At Risk,1
90,74,54,35,47,64.1,At Risk,1
67,88,58,87,76,74.8,Safe,0
86,56,46,73,47,62.7,At Risk,1
61,83,84,74,71,74.55,Safe,0
76,67,69,61,73,69.65,At Risk,1
82,69,67,74,76,73.65,Safe,0
56,68,67,76,94,69.9,At Risk,1
96,85,85,50,63,79.2,Safe,0
99,92,77,45,65,79.65,Safe,0
60,45,71,83,49,60.25,At Risk,1
82,74,46,50,62,65.0,At Risk,1
82,80,37,40,72,64.7,At Risk,1
98,76,35,89,86,76.75,Safe,0
98,63,67,66,66,73.45,Safe,0
74,68,74,65,65,69.8,At Risk,1
84,88,44,64,50,68.9,At Risk,1
65,85,77,48,45,66.85,At Risk,1
82,92,78,49,49,73.8,Safe,0
79,70,63,86,85,75.5,Safe,0
93,74,47,47,56,66.6,At Risk,1
87,72,46,76,70,70.85,Safe,0
55,91,65,70,90,73.5,Safe,0
81,60,80,78,78,74.65,Safe,0
67,71,36,43,93,62.1,At Risk,1
95,62,85,44,58,71.55,Safe,0
57,72,84,60,70,68.55,At Risk,1
93,42,69,30,89,65.4,At Risk,1
60,57,57,82,71,63.6,At Risk,1
62,64,51,83,53,62.1,At Risk,1
81,81,60,83,70,75.45,Safe,0
63,70,42,32,91,60.1,At Risk,1
91,93,63,45,66,75.25,Safe,0
87,42,60,52,91,65.7,At Risk,1
96,79,44,86,74,76.55,Safe,0
98,85,60,40,87,76.8,Safe,0
78,63,68,41,92,68.8,At Risk,1
69,89,85,39,61,71.5,Safe,0
86,71,75,61,70,73.9,Safe,0
86,86,41,45,80,69.95,At Risk,1
78,61,38,37,45,54.65,At Risk,1
95,62,87,67,52,74.5,Safe,0
66,41,84,41,93,63.65,At Risk,1
93,66,79,53,79,75.35,Safe,0
56,81,45,57,59,60.65,At Risk,1
57,41,63,82,91,63.05,At Risk,1
91,65,70,37,66,68.45,At Risk,1
71,56,59,87,58,65.3,At Risk,1
